86005215,2024-07-10 11:07:55.23546,"[10.07.2024 18:07:55.015+07:00] --- [Warning, 'Network.cs' (212)]: Узел '10.0.1.1' недоступен."
86005216,2024-07-10 11:07:55.235494,"[10.07.2024 18:07:55.143+07:00] --- [Info, 'Poller.cs' (806)]: Кол-во пакетов в ЛСЕ-Л: 5."
86005217,2024-07-10 11:07:55.235514,"[10.07.2024 18:07:55.196+07:00] NetworkMaupState >> Online ( MaupType='GasDetecter', MaupId='15195 (0x3B5B)',  DeviceOwnerId='10.0.3.216', DeviceOwnerHadrwareType='LSEL')."
86005218,2024-07-10 11:07:56.251781,"[10.07.2024 18:07:55.335+07:00] --- [Warning, 'Network.cs' (212)]: Узел '10.0.1.4' недоступен."
86005219,2024-07-10 11:07:56.251822,"[10.07.2024 18:07:56.138+07:00] --- [Warning, 'Poller.cs' (238)]: Нет данных позиционирования в срезе: '[13]."
86005220,2024-07-10 11:08:00.275702,"[10.07.2024 18:08:00.143+07:00] --- [Info, 'Poller.cs' (806)]: Кол-во пакетов в ЛСЕ-Л: 3."
86005221,2024-07-10 11:08:00.275735,"[10.07.2024 18:08:00.176+07:00] NetworkMaupState >> Online ( MaupType='GasDetecter', MaupId='9992 (0x2708)',  DeviceOwnerId='10.0.3.216', DeviceOwnerHadrwareType='LSEL')."
86005222,2024-07-10 11:08:01.293012,"[10.07.2024 18:08:00.659+07:00] --- [Warning, 'Network.cs' (212)]: Узел '10.0.1.1' недоступен."
86005223,2024-07-10 11:08:01.293062,"[10.07.2024 18:08:00.980+07:00] --- [Warning, 'Network.cs' (212)]: Узел '10.0.1.4' недоступен."
86005224,2024-07-10 11:08:01.293105,"[10.07.2024 18:08:01.142+07:00] --- [Warning, 'Poller.cs' (238)]: Нет данных позиционирования в срезе: '[14]."
86005225,2024-07-10 11:08:05.320448,"[10.07.2024 18:08:05.136+07:00] --- [Info, 'Poller.cs' (806)]: Кол-во пакетов в ЛСЕ-Л: 4."
